Sort_ID,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Checker,Country,Region,Site_name,Site_ID,Paper_year,Study_midyear,YearsOfData,Annual_coverage,Latitude,Longitude,Elevation,MAT,MAP,MPET,Study_temp,Study_precip,Manipulation,Manipulation_level,Manipulation_age,IGBP,Ecosystem_age,Species,Leaf_habit,Ecosystem_state,LAI,Soil_family,Soil_texture,Soil_sand,Soil_silt,Soil_clay,Soil_rock,Soil_depth,Soil_BD,Soil_pH,Soil_SAR,Soil_SOC,Soil_C_stock,Soil_N,Soil_CN,Crust,Ksat,E,I30,EI30_R,K,L,Slope,Plant_cover_C,P,Meas_method,Method_details,Study_area,Field_scale,Field_area,Measure_time,Measure_interval,Replication,ER_annual_paper,ER_annual_units,Convertor,ER_annual,ER_Sedt_se,ER_Sedt_sd,ER_max,ER_maxday,Sediment_annual,Runoff_annual,Runoff_se,Runoff_sd,Runoff_max,Runoff_max_day,Leaching,Leaching_unit,Leaching_type,Data_source,Notes,Comments1,Comments2,Comment3
20,2020-01-12,2,Vieira,,Q0,JJ,XD,Portugal,Gois,Colmeal village,PT-GOIS-CP,2016,2012,1.00,1,40.13,-7.98,,12.00,1133.00,,,833,Multiple factors,"Contour plowing, fire",4,EBF,,Eucalyptus globulus,Evergreen,Managed,,Humic Cambisols,Sandy loam,70,,,46,,0.85,,,,,,,,,,47.58,1679,,0.5,,2,,Runoff plot,,,Runoff plot,0.375,Every month,30,4,,,,0.710,,0.48,,,,503.000,,36.000,,,,,,Table 3,,,,
21,2020-01-12,3,Yi,,Q0,JJ,XD,China,Shaanxi,Shenmu station,CN-SN-SM,2016,2002,2.67,1,38.80,110.52,,8.40,437.40,,8.4,722.85,None,,,CRO,,Vigna radiata (Linn.) Wilczek,,Managed,,,,,,,,,,,,,,,,,,,,,,12,15,,,Runoff plot,,,Runoff plot,60,,,,,,,20.840,,,,,,63.863,,,,,,,,3.2. Runoff and sediment yield,,,,
22,2020-01-12,5,Canton,,Q0,JJ,XD,Spain,South-eastern Spain,,ES-SE-ONE,2011,,1.00,1,,,,,400.00,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review,,,,
23,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Açores,PT-VRBH-UP05A1,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,277,Multiple factors,"Unploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Umbric Leptosol,Sandy clay loam,50,25,25,,,0.83,,,11,,,,,,,47.5,,,,23,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.260,,,,,,150.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
24,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Açores,PT-VRBH-UP05A2,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,277,Multiple factors,"Ploughed down-slope, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Umbric Leptosol,Clay loam,33,36,31,,,0.93,,,10,,,,,,,47.5,,,,17,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.140,,,,,,94.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
25,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Jafafe,PT-VRBH-CP05J1,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,254,Multiple factors,"Contour ploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy clay loam,70,7,23,,,0.88,,,11,,,,,,,47.5,,,,14,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.260,,,,,,124.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
26,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Jafafe,PT-VRBH-CP05J2,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,253,Multiple factors,"Incline terracing, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy clay loam,55,15,30,,,0.83,,,10,,,,,,,47.5,,,,24,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.110,,,,,,53.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
27,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Soutelo,PT-VRBH-UP06S1,2013,2006,1.00,1,40.67,-8.34,,13.95,1229.00,,,275,Multiple factors,"Unploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy loam,62,23,25,,,0.86,,,5,,,,,,,47.5,,,,22,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.120,,,,,,68.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
28,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Soutelo,PT-VRBH-UP06S2,2013,2006,1.00,1,40.67,-8.34,,13.95,1229.00,,,276,Multiple factors,"Unploughed Logging, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy loam,56,24,20,,,0.8,,,7,,,,,,,47.5,,,,19,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.090,,,,,,47.000,,,,,,,,Table 3,High 45–50 mm h?1 ,,,
29,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Açores,PT-VRBE-UP05A1,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,486,Multiple factors,"Unploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Umbric Leptosol,Sandy clay loam,50,25,25,,,0.83,,,11,,,,,,,82.5,,,,23,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.930,,,,,,265.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
30,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Açores,PT-VRBE-UP05A2,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,404,Multiple factors,"Ploughed down-slope, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Umbric Leptosol,Clay loam,33,36,31,,,0.93,,,10,,,,,,,82.5,,,,17,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.210,,,,,,154.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
31,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Jafafe,PT-VRBE-CP05J1,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,449,Multiple factors,"Contour ploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy clay loam,70,7,23,,,0.88,,,11,,,,,,,82.5,,,,14,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.100,,,,,,69.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
32,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Jafafe,PT-VRBE-CP05J2,2013,2005,1.00,1,40.67,-8.44,,13.95,1229.00,,,365,Multiple factors,"Incline terracing, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy clay loam,55,15,30,,,0.83,,,10,,,,,,,82.5,,,,19,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.250,,,,,,134.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
33,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Soutelo,PT-VRBE-UP06S1,2013,2006,1.00,1,40.67,-8.34,,13.95,1229.00,,,398,Multiple factors,"Unploughed, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy loam,62,23,25,,,0.86,,,5,,,,,,,82.5,,,,18,,,Runoff plot,,,Runoff plot,0.28,,,,,,,0.050,,,,,,26.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
34,2020-01-12,6, Malvar,,Q0,JJ,XD,Portugal,Vouga River Basin,Soutelo,PT-VRBE-UP06S2,2013,2006,1.00,1,40.67,-8.34,,13.95,1229.00,,,398,Multiple factors,"Unploughed Logging, fire",,DBF,,Eucalyptus globulus Ait.,Deciduous,Managed,,Leptic Umbrisol,Sandy loam,56,24,20,,,0.8,,,7,,,,,,,82.5,,,,20,,,Runoff plot,,,Runoff plot,0.28,,,,,,,1.090,,,,,,208.000,,,,,,,,Table 3,Extreme 80–85 mm h?1,,,
35,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-SD60,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,0.15,Entisol,Clay loam,49,29,22,,,1.05,,,1.3,,,,,,,,,,2,15,11.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Seedling,,
36,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-SD90,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,0.15,Entisol,Clay loam,49,29,22,,,1.05,,,1.3,,,,,,,,,,2,15,11.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Jointing,,
37,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-SD120,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,0.15,Entisol,Clay loam,49,29,22,,,1.05,,,1.3,,,,,,,,,,2,15,11.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Tasseling,,
38,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-JT60,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.01,Entisol,Clay loam,49,29,22,,,1.11,,,1.3,,,,,,,,,,2,15,58.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Maturing,,
39,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-JT90,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.01,Entisol,Clay loam,49,29,22,,,1.11,,,1.3,,,,,,,,,,2,15,58.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Seedling,,
40,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-JT120,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.01,Entisol,Clay loam,49,29,22,,,1.11,,,1.3,,,,,,,,,,2,15,58.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Jointing,,
41,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-TS60,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,2.34,Entisol,Clay loam,49,29,22,,,1.22,,,1.3,,,,,,,,,,2,15,81.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Tasseling,,
42,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-TS90,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,2.34,Entisol,Clay loam,49,29,22,,,1.22,,,1.3,,,,,,,,,,2,15,81.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Maturing,,
43,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-TS120,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,2.34,Entisol,Clay loam,49,29,22,,,1.22,,,1.3,,,,,,,,,,2,15,81.67,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Seedling,,
44,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-MT60,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.36,Entisol,Clay loam,49,29,22,,,1.24,,,1.3,,,,,,,,,,2,15,66.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Jointing,,
45,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-MT90,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.36,Entisol,Clay loam,49,29,22,,,1.24,,,1.3,,,,,,,,,,2,15,66.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Tasseling,,
46,2020-01-12,7,Luo,,Q1,JJ,XD,China,Sichuan,Songtao town of yangjiang,CN-SC-MT120,2019,2017,,0.01,30.08,104.57,,,980.00,,,,Reduced tillage,"Ridge tillage, 15 height and 40 width",,CRO,,Zea mays,,Managed,1.36,Entisol,Clay loam,49,29,22,,,1.24,,,1.3,,,,,,,,,,2,15,66.33,,Runoff plot,,,Runoff plot,2,,,,,,,,,,,,,,,,,,,,,Figure 5 and 7,Potential data quality for runoff,Maturing,,
47,2020-01-12,9,Sachs,,Q1,JJ,XD,Israel,Rohama,Rain-fed agricultural ?eld,IL-RHM-2CFC,2017,,,0.01,34.71,31.48,,,,,,,Temperature change,"Field capacity, 2 ?",,,,None,,,,Palexeralf soil (Loess),loam,40,35,25,,,1.61,7.7,2.44,1.4,,,,,,,,,,1.165,,0,,Runoff plot,,,Runoff plot,0.64075,,,4,,,,,,,,,,,,,,,,,,Figure 4 and 5,,,,
48,2020-01-12,9,Sachs,,Q1,JJ,XD,Israel,Rohama,Rain-fed agricultural ?eld,IL-RHM-2CHS,2017,,,0.01,34.71,31.48,,,,,,,Temperature change,"Hygroscopic, 2 ?",,,,None,,,,Palexeralf soil (Loess),loam,40,35,25,,,1.61,7.7,2.44,1.4,,,,,,,,,,1.165,,0,,Runoff plot,,,Runoff plot,0.64075,,,4,,,,,,,,,,,,,,,,,,Figure 4 and 5,,,,
49,2020-01-12,9,Sachs,,Q1,JJ,XD,Israel,Rohama,Rain-fed agricultural ?eld,IL-RHM-20CFC,2017,,,0.01,34.71,31.48,,,,,,,Temperature change,"Field capacity, 20 ?",,,,None,,,,Palexeralf soil (Loess),loam,40,35,25,,,1.61,7.7,2.44,1.4,,,,,,,,,,1.165,,0,,Runoff plot,,,Runoff plot,0.64075,,,4,,,,,,,,,,,,,,,,,,Figure 4 and 5,,,,
50,2020-01-12,9,Sachs,,Q1,JJ,XD,Israel,Rohama,Rain-fed agricultural ?eld,IL-RHM-20CHS,2017,,,0.01,34.71,31.48,,,,,,,Temperature change,"Hygroscopic, 20 ?",,,,None,,,,Palexeralf soil (Loess),loam,40,35,25,,,1.61,7.7,2.44,1.4,,,,,,,,,,1.165,,0,,Runoff plot,,,Runoff plot,0.64075,,,4,,,,,,,,,,,,,,,,,,Figure 4 and 5,,,,
51,2020-01-12,9,Sachs,,Q1,JJ,XD,Israel,Rohama,Rain-fed agricultural ?eld,IL-RHM-35CFC,2017,,,0.01,34.71,31.48,,,,,,,Temperature change,"Field capacity, 35 ?",,,,None,,,,Palexeralf soil (Loess),loam,40,35,25,,,1.61,7.7,2.44,1.4,,,,,,,,,,1.165,,0,,Runoff plot,,,Runoff plot,0.64075,,,4,,,,,,,,,,,,,,,,,,Figure 4 and 5,,,,
