"Sort_ID","Entry_date","Study_number","Author","Duplicate_record","Quality_flag","Contributor","Checker","Country","Region","Site_name","Site_ID","Paper_year","Study_midyear","YearsOfData","Annual_coverage","Latitude","Longitude","Elevation","MAT","MAP","MPET","Study_temp","Study_precip","Manipulation","Manipulation_level","Manipulation_age","IGBP.x","Ecosystem_age","Species","Leaf_habit","Ecosystem_state","LAI","Soil_family","Soil_texture","Soil_sand","Soil_silt","Soil_clay","Soil_rock","Soil_depth","Soil_BD","Soil_pH","Soil_SAR","Soil_SOC","Soil_C_stock","Soil_N","Soil_CN","Crust","Ksat","E","I30","EI30_R","K","L","Slope","Plant_cover_C","P","Meas_method","Field_scale","Field_area","Measure_time","Measure_interval","Replication","ER_annual_paper","ER_annual_units","Convertor","ER_annual","ER_Sedt_se","ER_Sedt_sd","ER_max","ER_maxday","Sediment_annual","Runoff_annual","Runoff_se","Runoff_sd","Runoff_max","Runoff_max_day","Leaching","Leaching_unit","Leaching_type","Data_source","Notes","Comments1","Comments2","Comment3","X","X.1","X.2","Tannual_del","Pannual_del","Latitude2","Longitude2","IGBP.y","Ecosystem","IGBP_group","barren_yn","ClimateTypes","MiddleClimate","Ecosystem2","MAT_Del","MAP_Del","IGBP","Soil_Group","Meas_method_group"
11,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-CP",2016,2009,1,1,40.13,-7.98,NA,12,1133,NA,NA,1095,"Multiple factors","Contour plowing, fire","1","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,46,"",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,2168,NA,0.5,NA,1,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,0.55,NA,0.22,NA,"",NA,191,NA,40,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.65,1591.4,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
12,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-U",2016,2010,1,1,40.13,-7.98,NA,12,1133,NA,NA,1295,"Multiple factors","Unplowed, fire","2","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,42,"",0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3938,NA,0.5,NA,4,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,0.33,NA,0.52,NA,"",NA,245,NA,225,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.125,1916.9,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
13,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-DP",2016,2010,1,1,40.13,-7.98,NA,12,1133,NA,NA,1295,"Multiple factors","Downslope plowing, fire","2","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,40,"",1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3938,NA,0.5,NA,10,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,0.44,NA,0.54,NA,"",NA,257,NA,256,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.125,1916.9,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
14,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-CP",2016,2010,1,1,40.13,-7.98,NA,12,1133,NA,NA,1295,"Multiple factors","Contour plowing, fire","2","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,46,"",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3938,NA,0.5,NA,1,NA,"Runoff plot","Runoff plot",0.375,"Every week",7,4,"","",NA,1.37,NA,0.71,NA,"",NA,550,NA,55,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.125,1916.9,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
15,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-U",2016,2011,1,1,40.13,-7.98,NA,12,1133,NA,NA,1534,"Multiple factors","Unplowed, fire","3","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,42,"",0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,5161,NA,0.5,NA,4,NA,"Runoff plot","Runoff plot",0.375,"Every two weeks",14,4,"","",NA,0.54,NA,0.51,NA,"",NA,309,NA,160,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.8916666666667,1361.8,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
16,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-DP",2016,2011,1,1,40.13,-7.98,NA,12,1133,NA,NA,1534,"Multiple factors","Downslope plowing, fire","3","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,40,"",1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,5161,NA,0.5,NA,33,NA,"Runoff plot","Runoff plot",0.375,"Every two weeks",14,4,"","",NA,0.82,NA,0.2,NA,"",NA,410,NA,148,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.8916666666667,1361.8,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
17,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-CP",2016,2011,1,1,40.13,-7.98,NA,12,1133,NA,NA,1534,"Multiple factors","Contour plowing, fire","3","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,46,"",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,5161,NA,0.5,NA,1.5,NA,"Runoff plot","Runoff plot",0.375,"Every two weeks",14,4,"","",NA,1.32,NA,0.8,NA,"",NA,671,NA,67,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.8916666666667,1361.8,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
18,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-U",2016,2012,1,1,40.13,-7.98,NA,12,1133,NA,NA,833,"Multiple factors","Unplowed, fire","4","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,42,"",0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58,1679,NA,0.5,NA,8,NA,"Runoff plot","Runoff plot",0.375,"Every month",30,4,"","",NA,0.14,NA,0.08,NA,"",NA,218,NA,115,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.15,1320.7,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
19,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-DP",2016,2012,1,1,40.13,-7.98,NA,12,1133,NA,NA,833,"Multiple factors","Downslope plowing, fire","4","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,40,"",1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58,1679,NA,0.5,NA,26,NA,"Runoff plot","Runoff plot",0.375,"Every month",30,4,"","",NA,0.38,NA,0.26,NA,"",NA,459,NA,83,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.15,1320.7,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
20,"2020-01-12",2,"Vieira",NA,"Q0","JJ","XD","Portugal","Gois","Colmeal village","PT-GOIS-CP",2016,2012,1,1,40.13,-7.98,NA,12,1133,NA,NA,833,"Multiple factors","Contour plowing, fire","4","EBF",NA,"Eucalyptus globulus","Evergreen","Managed",NA,"Humic Cambisols","Sandy loam",70,NA,NA,46,"",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58,1679,NA,0.5,NA,2,NA,"Runoff plot","Runoff plot",0.375,"Every month",30,4,"","",NA,0.71,NA,0.48,NA,"",NA,503,NA,36,NA,"",NA,"","","Table 3","","","","",NA,NA,NA,12.15,1320.7,40.25,-7.75,"WSA","Savanna","GRA",0,"Csb","Cs","Savanna",12.2,1602.16,"FOR","SL","Runoff plot"
21,"2020-01-12",3,"Yi",NA,"Q0","JJ","XD","China","Shaanxi","Shenmu station","CN-SN-SM",2016,2002,2.67,1,38.8,110.52,NA,8.4,437.4,NA,8.4,722.85,"None","","","CRO",NA,"Vigna radiata (Linn.) Wilczek","","Managed",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,NA,NA,"Runoff plot","Runoff plot",60,"",NA,NA,"","",NA,20.84,NA,NA,NA,"",NA,63.863,NA,NA,NA,"",NA,"","","3.2. Runoff and sediment yield","","","","",NA,NA,NA,9.16666666666667,428.6,38.75,110.75,"GRA","Grassland","GRA",0,"Dwa","Dsw","Grassland",8.24,460.39,"CRO","OTH","Runoff plot"
22,"2020-01-12",5,"Canton",NA,"Q0","JJ","XD","Spain","South-eastern Spain","","ES-SE-ONE",2011,1999,1,1,NA,NA,NA,NA,400,NA,NA,NA,"None","","","",NA,"","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"","","Review","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTH","OTH","OTH"
23,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","A?ores","PT-VRBH-UP05A1",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,277,"Multiple factors","Unploughed, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Umbric Leptosol","Sandy clay loam",50,25,25,NA,"",0.83,NA,NA,11,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,23,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.26,NA,NA,NA,"",NA,150,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SCL","Runoff plot"
24,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","A?ores","PT-VRBH-UP05A2",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,277,"Multiple factors","Ploughed down-slope, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Umbric Leptosol","Clay loam",33,36,31,NA,"",0.93,NA,NA,10,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,17,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.14,NA,NA,NA,"",NA,94,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","CL","Runoff plot"
25,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","Jafafe","PT-VRBH-CP05J1",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,254,"Multiple factors","Contour ploughed, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Leptic Umbrisol","Sandy clay loam",70,7,23,NA,"",0.88,NA,NA,11,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,14,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.26,NA,NA,NA,"",NA,124,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SCL","Runoff plot"
26,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","Jafafe","PT-VRBH-CP05J2",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,253,"Multiple factors","Incline terracing, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Leptic Umbrisol","Sandy clay loam",55,15,30,NA,"",0.83,NA,NA,10,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,24,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.11,NA,NA,NA,"",NA,53,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SCL","Runoff plot"
27,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","Soutelo","PT-VRBH-UP06S1",2013,2006,1,1,40.67,-8.34,NA,13.95,1229,NA,NA,275,"Multiple factors","Unploughed, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Leptic Umbrisol","Sandy loam",62,23,25,NA,"",0.86,NA,NA,5,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,22,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.12,NA,NA,NA,"",NA,68,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.8416666666667,1679.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SL","Runoff plot"
28,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","Soutelo","PT-VRBH-UP06S2",2013,2006,1,1,40.67,-8.34,NA,13.95,1229,NA,NA,276,"Multiple factors","Unploughed Logging, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Leptic Umbrisol","Sandy loam",56,24,20,NA,"",0.8,NA,NA,7,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,19,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.09,NA,NA,NA,"",NA,47,NA,NA,NA,"",NA,"","","Table 3","High 45每50 mm h?1 ","","","",NA,NA,NA,14.8416666666667,1679.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SL","Runoff plot"
29,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","A?ores","PT-VRBE-UP05A1",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,486,"Multiple factors","Unploughed, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Umbric Leptosol","Sandy clay loam",50,25,25,NA,"",0.83,NA,NA,11,NA,NA,NA,NA,NA,NA,82.5,NA,NA,NA,23,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.93,NA,NA,NA,"",NA,265,NA,NA,NA,"",NA,"","","Table 3","Extreme 80每85 mm h?1","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SCL","Runoff plot"
30,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","A?ores","PT-VRBE-UP05A2",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,404,"Multiple factors","Ploughed down-slope, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Umbric Leptosol","Clay loam",33,36,31,NA,"",0.93,NA,NA,10,NA,NA,NA,NA,NA,NA,82.5,NA,NA,NA,17,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.21,NA,NA,NA,"",NA,154,NA,NA,NA,"",NA,"","","Table 3","Extreme 80每85 mm h?1","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","CL","Runoff plot"
31,"2020-01-12",6," Malvar",NA,"Q0","JJ","XD","Portugal","Vouga River Basin","Jafafe","PT-VRBE-CP05J1",2013,2005,1,1,40.67,-8.44,NA,13.95,1229,NA,NA,449,"Multiple factors","Contour ploughed, fire","","DBF",NA,"Eucalyptus globulus Ait.","Deciduous","Managed",NA,"Leptic Umbrisol","Sandy clay loam",70,7,23,NA,"",0.88,NA,NA,11,NA,NA,NA,NA,NA,NA,82.5,NA,NA,NA,14,NA,NA,"Runoff plot","Runoff plot",0.28,"",NA,NA,"","",NA,0.1,NA,NA,NA,"",NA,69,NA,NA,NA,"",NA,"","","Table 3","Extreme 80每85 mm h?1","","","",NA,NA,NA,14.525,1089.8,40.75,-8.25,"MF","Forest","MF",0,"Csb","Cs","T&B FOR",14.47,1585.84,"FOR","SCL","Runoff plot"
